Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,AvgCH,AvgCD,AvgCA,MaxCH,MaxCD,MaxCA
D1,16/08/2019,Bayern Munich,Hertha,2,2,1,2,D,1.18,7.55,15.04,1.25,8.3,17.5
D1,17/08/2019,Dortmund,Augsburg,5,1,1,1,H,1.22,6.62,13.38,1.25,7.15,17.0
D1,17/08/2019,Freiburg,Mainz,3,0,,,H,2.2,3.37,3.36,2.26,3.49,3.65
D1,17/08/2019,Leverkusen,Paderborn,3,2,2,2,H,1.28,5.97,10.27,1.31,6.4,12.25
D1,17/08/2019,Werder Bremen,Fortuna Dusseldorf,1,3,,1,A,1.74,3.93,4.57,1.8,4.05,4.95
D1,17/08/2019,Wolfsburg,FC Koln,2,1,1,,H,1.91,3.74,3.91,1.97,3.96,4.1
D1,17/08/2019,MGladbach,Schalke 04,0,0,,,D,2.06,3.49,3.6,2.11,3.6,3.76
D1,18/08/2019,Ein Frankfurt,Hoffenheim,1,0,1,,H,2.32,3.65,2.92,2.45,3.8,3.04
D1,18/08/2019,Union Berlin,RB Leipzig,0,4,,3,A,4.63,4.02,1.72,5.0,4.21,1.76
D1,23/08/2019,FC Koln,Dortmund,1,3,1,,A,6.18,4.74,1.48,6.6,5.0,1.53
D1,24/08/2019,Augsburg,Union Berlin,1,1,,,D,2.24,3.32,3.31,2.31,3.45,3.45
D1,24/08/2019,Fortuna Dusseldorf,Leverkusen,1,3,,3,A,4.36,4.2,1.72,4.75,4.4,1.78
D1,24/08/2019,Hoffenheim,Werder Bremen,3,2,,1,H,1.88,3.92,3.83,1.92,4.1,4.2
D1,24/08/2019,Mainz,MGladbach,1,3,1,1,A,2.86,3.42,2.46,3.25,3.55,2.59
D1,24/08/2019,Paderborn,Freiburg,1,3,1,2,A,2.38,3.6,2.84,2.69,3.75,2.95
D1,24/08/2019,Schalke 04,Bayern Munich,0,3,,1,A,8.12,4.93,1.38,9.0,5.3,1.5
D1,25/08/2019,RB Leipzig,Ein Frankfurt,2,1,1,,H,1.49,4.63,6.06,1.55,4.9,6.6
D1,25/08/2019,Hertha,Wolfsburg,0,3,,1,A,2.42,3.46,2.87,2.5,3.72,3.05
D1,30/08/2019,MGladbach,RB Leipzig,1,3,,1,A,3.28,3.76,2.11,3.45,4.0,2.17
D1,31/08/2019,Bayern Munich,Mainz,6,1,2,1,H,1.09,11.05,28.84,1.12,12.75,38.0
D1,31/08/2019,Freiburg,FC Koln,1,2,1,,A,2.45,3.45,2.87,2.54,3.55,3.0
D1,31/08/2019,Leverkusen,Hoffenheim,0,0,,,D,1.55,4.88,5.08,1.58,5.1,5.45
D1,31/08/2019,Schalke 04,Hertha,3,0,1,,H,2.12,3.45,3.51,2.19,3.6,3.7
D1,31/08/2019,Wolfsburg,Paderborn,1,1,,1,D,1.46,4.85,6.46,1.49,5.05,7.0
D1,31/08/2019,Union Berlin,Dortmund,3,1,1,1,H,8.99,5.56,1.32,10.0,6.0,1.36
D1,01/09/2019,Werder Bremen,Augsburg,3,2,2,1,H,1.7,4.03,4.77,1.74,4.25,5.0
D1,01/09/2019,Ein Frankfurt,Fortuna Dusseldorf,2,1,,1,H,1.69,4.08,4.77,1.73,4.25,5.05
D1,13/09/2019,Fortuna Dusseldorf,Wolfsburg,1,1,1,1,D,3.03,3.62,2.28,3.17,3.8,2.35
D1,14/09/2019,Augsburg,Ein Frankfurt,2,1,2,,H,3.48,3.69,2.05,3.65,3.85,2.2
D1,14/09/2019,Dortmund,Leverkusen,4,0,1,,H,1.82,4.01,4.04,1.89,4.2,4.3
D1,14/09/2019,FC Koln,MGladbach,0,1,,1,A,2.57,3.53,2.66,2.7,3.7,2.75
D1,14/09/2019,Mainz,Hertha,2,1,1,,H,2.38,3.44,2.98,2.5,3.56,3.1
D1,14/09/2019,Union Berlin,Werder Bremen,1,2,1,1,A,2.79,3.5,2.48,2.9,3.6,2.6
D1,14/09/2019,RB Leipzig,Bayern Munich,1,1,1,1,D,3.78,4.04,1.87,4.05,4.27,2.0
D1,15/09/2019,Hoffenheim,Freiburg,0,3,,2,A,1.69,4.2,4.6,1.75,4.4,4.9
D1,15/09/2019,Paderborn,Schalke 04,1,5,1,1,A,3.04,3.64,2.26,3.2,3.8,2.33
D1,20/09/2019,Schalke 04,Mainz,2,1,1,,H,1.66,4.07,5.11,1.7,4.22,5.4
D1,21/09/2019,Bayern Munich,FC Koln,4,0,1,,H,1.12,9.25,21.04,1.14,10.5,31.0
D1,21/09/2019,Freiburg,Augsburg,1,1,1,1,D,1.9,3.77,3.92,2.05,3.9,4.2
D1,21/09/2019,Hertha,Paderborn,2,1,1,,H,1.73,4.02,4.54,1.8,4.2,4.95
D1,21/09/2019,Leverkusen,Union Berlin,2,0,2,,H,1.36,5.31,7.82,1.41,5.7,8.6
D1,21/09/2019,Werder Bremen,RB Leipzig,0,3,,2,A,4.19,4.25,1.75,4.55,4.5,1.8
